,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
496,13223,24868.0,12.7,9.7,11.0,78.27
497,13225,20256.0,22.7,12.8,15.6,73.82
498,13227,26444.0,12.0,15.7,17.5,77.37
499,13229,21601.0,20.0,20.3,20.4,74.67
500,13231,23670.0,12.5,13.3,14.3,75.85
501,13233,18773.0,20.5,16.9,24.8,73.53
502,13235,17379.0,13.9,15.9,23.2,76.85
503,13237,24807.0,14.2,15.2,15.3,77.12
504,13239,15644.0,28.7,28.4,24.9,75.81
505,13241,22848.0,23.7,16.0,14.0,77.48
506,13243,24084.0,32.6,21.1,27.3,74.9
507,13245,20549.0,25.4,17.6,16.3,74.07
508,13247,23409.0,15.9,10.5,14.2,78.22
509,13249,20650.0,22.2,17.4,25.9,76.26
510,13251,18650.0,25.0,18.1,19.0,74.32
511,13253,18939.0,22.6,16.3,18.6,74.91
512,13255,19656.0,22.6,16.2,22.7,74.62
513,13257,19624.0,19.3,18.9,17.9,74.51
514,13259,13354.0,35.0,24.6,38.1,74.36
515,13261,17838.0,31.6,14.8,23.3,74.95
516,13263,18545.0,18.4,22.1,23.3,74.41
517,13265,13742.0,31.2,23.9,33.7,75.44
518,13267,14777.0,29.3,19.2,25.2,74.93
519,13269,17311.0,27.4,16.1,25.4,74.58
520,13271,12156.0,27.5,17.0,25.7,76.02
